縣市,縣市代碼,機關代碼,登錄號碼,經紀業名稱
臺北市,63000,379700000A,A1-0502,鴻毅服務股份有限公司
臺北市,63000,379700000A,A1-0503,台灣世達志不動產顧問股份有限公司
臺北市,63000,379700000A,A1-0507,力揚不動產仲介有限公司
臺北市,63000,379700000A,A1-0510,高機不動產有限公司
臺北市,63000,379700000A,A1-0518,亞細亞不動產股份有限公司
臺北市,63000,379700000A,A1-0526,松華不動產仲介經紀股份有限公司
臺北市,63000,379700000A,A1-0533,源慧廣告股份有限公司
臺北市,63000,379700000A,A1-0541,璞全廣告股份有限公司
臺北市,63000,379700000A,A1-0543,知見不動產仲介經紀股份有限公司
臺北市,63000,379700000A,A1-0546,宋利文不動產經紀有限公司
臺北市,63000,379700000A,A1-0548,文林不動產經紀有限公司
臺北市,63000,379700000A,A1-0552,鳳梨國際開發股份有限公司
臺北市,63000,379700000A,A1-0560,寶吉祥有限公司
臺北市,63000,379700000A,A1-0574,潤泰創新國際股份有限公司
臺北市,63000,379700000A,A1-0582,長拓不動產投資股份有限公司
臺北市,63000,379700000A,A1-0587,日僑房屋仲介有限公司
臺北市,63000,379700000A,A1-0591,啟源國際實業有限公司
臺北市,63000,379700000A,A1-0592,美齊開發有限公司
臺北市,63000,379700000A,A1-0593,翔瑞不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0594,欣元不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0600,龍屋不動產仲介經紀商行
臺北市,63000,379700000A,A1-0609,裕達房屋仲介有限公司
臺北市,63000,379700000A,A1-0611,碁泰管理顧問股份有限公司
臺北市,63000,379700000A,A1-0618,互謚房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0619,大建不動產股份有限公司
臺北市,63000,379700000A,A1-0628,匯豐地產開發股份有限公司
臺北市,63000,379700000A,A1-0632,高仕不動產科技股份有限公司
臺北市,63000,379700000A,A1-0635,統一不動產開發有限公司
臺北市,63000,379700000A,A1-0636,忠泰房屋仲介股份有限公司
臺北市,63000,379700000A,A1-0639,蓮花國際廣告行銷股份有限公司
臺北市,63000,379700000A,A1-0650,中庭不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0657,威利不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0673,華瑞峰股份有限公司
臺北市,63000,379700000A,A1-0678,司貝斯特不動產投資顧問有限公司
臺北市,63000,379700000A,A1-0681,三通不動產有限公司
臺北市,63000,379700000A,A1-0706,勤實佳房屋仲介行股份有限公司
臺北市,63000,379700000A,A1-0710,海嘉廣告股份有限公司
臺北市,63000,379700000A,A1-0723,以馬內利房屋仲介有限公司
臺北市,63000,379700000A,A1-0730,瑞光不動產有限公司
臺北市,63000,379700000A,A1-0731,天母星不動產有限公司
臺北市,63000,379700000A,A1-0739,聯輝不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0744,當代國際資產管理有限公司
臺北市,63000,379700000A,A1-0750,雙城不動產有限公司
臺北市,63000,379700000A,A1-0762,華宇不動產有限公司
臺北市,63000,379700000A,A1-0763,鼎發房屋仲介有限公司
臺北市,63000,379700000A,A1-0773,佶德利廣告有限公司
臺北市,63000,379700000A,A1-0779,三木不動產開發有限公司
臺北市,63000,379700000A,A1-0780,台暘開發有限公司
臺北市,63000,379700000A,A1-0790,易而安不動產仲介經紀股份有限公司
臺北市,63000,379700000A,A1-0809,啟碁不動產開發有限公司
臺北市,63000,379700000A,A1-0812,大彎土地開發有限公司
臺北市,63000,379700000A,A1-0816,地利富達不動產顧問股份有限公司
臺北市,63000,379700000A,A1-0817,城市物業股份有限公司
臺北市,63000,379700000A,A1-0819,貴鳳不動產經紀有限公司
臺北市,63000,379700000A,A1-0821,池旭有限公司
臺北市,63000,379700000A,A1-0824,永曜廣告有限公司
臺北市,63000,379700000A,A1-0832,住商資產管理股份有限公司
臺北市,63000,379700000A,A1-0834,家園不動產股份有限公司 
臺北市,63000,379700000A,A1-0868,新的房屋仲介有限公司
臺北市,63000,379700000A,A1-0872,威肯國際企業有限公司
臺北市,63000,379700000A,A1-0876,梁茂廣告有限公司
臺北市,63000,379700000A,A1-0879,我家不動產有限公司
臺北市,63000,379700000A,A1-0893,光合行銷股份有限公司
臺北市,63000,379700000A,A1-0896,城鄉物業管理顧問有限公司
臺北市,63000,379700000A,A1-0897,創意家行銷股份有限公司
臺北市,63000,379700000A,A1-0902,統一房屋介紹有限公司
臺北市,63000,379700000A,A1-0912,京睿地產有限公司
臺北市,63000,379700000A,A1-0922,城中房屋仲介有限公司
臺北市,63000,379700000A,A1-0931,傑盟不動產經紀有限公司
臺北市,63000,379700000A,A1-0955,大地主不動產經紀有限公司
臺北市,63000,379700000A,A1-0966,倍立企業有限公司
臺北市,63000,379700000A,A1-0967,吉祥不動產股份有限公司
臺北市,63000,379700000A,A1-0969,昇昱不動產股份有限公司
臺北市,63000,379700000A,A1-0970,大漢秋風不動產經紀有限公司
臺北市,63000,379700000A,A1-0976,安家不動產顧問有限公司
臺北市,63000,379700000A,A1-0978,海悅開發股份有限公司
臺北市,63000,379700000A,A1-0981,美得商用不動產顧問有限公司
臺北市,63000,379700000A,A1-0986,良信不動產經紀有限公司
臺北市,63000,379700000A,A1-0991,富地不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-0996,和成物業管理有限公司
臺北市,63000,379700000A,A1-1009,鼎睿房屋仲介股份有限公司
臺北市,63000,379700000A,A1-1015,亞太商仲開發有限公司
臺北市,63000,379700000A,A1-1018,崧誠不動產仲介有限公司
臺北市,63000,379700000A,A1-1024,慕樺廣告股份有限公司
臺北市,63000,379700000A,A1-1025,?贏不動產股份有限公司
臺北市,63000,379700000A,A1-1028,霞飛廣告股份有限公司
臺北市,63000,379700000A,A1-1034,惠民資產管理有限公司
臺北市,63000,379700000A,A1-1042,喬登開發顧問股份有限公司
臺北市,63000,379700000A,A1-1045,慧誠不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1047,財富開發有限公司
臺北市,63000,379700000A,A1-1059,瑞浩資產股份有限公司
臺北市,63000,379700000A,A1-1087,銓茂不動產開發有限公司
臺北市,63000,379700000A,A1-1092,貝捷有限公司
臺北市,63000,379700000A,A1-1098,樸園廣告股份有限公司
臺北市,63000,379700000A,A1-1105,益智實業有限公司
臺北市,63000,379700000A,A1-1107,喬誠房屋仲介股份有限公司
臺北市,63000,379700000A,A1-1121,宇赫不動產經紀有限公司
臺北市,63000,379700000A,A1-1124,元璞廣告股份有限公司
臺北市,63000,379700000A,A1-1125,海樺廣告股份有限公司
臺北市,63000,379700000A,A1-1128,昕傳廣告股份有限公司
臺北市,63000,379700000A,A1-1132,好漾廣告股份有限公司
臺北市,63000,379700000A,A1-1142,中業房屋仲介有限公司
臺北市,63000,379700000A,A1-1143,買屋知識家股份有限公司
臺北市,63000,379700000A,A1-1146,第一太平戴維斯股份有限公司
臺北市,63000,379700000A,A1-1147,兆德國際開發有限公司
臺北市,63000,379700000A,A1-1161,天順祥不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1163,昇禾不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1176,建發實業有限公司
臺北市,63000,379700000A,A1-1179,仲立房屋仲介有限公司
臺北市,63000,379700000A,A1-1182,太鼎不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1191,樸群廣告股份有限公司
臺北市,63000,379700000A,A1-1237,松高房屋仲介有限公司
臺北市,63000,379700000A,A1-1240,大成就物業有限公司
臺北市,63000,379700000A,A1-1252,環語資產股份有限公司
臺北市,63000,379700000A,A1-1255,新悅廣告股份有限公司
臺北市,63000,379700000A,A1-1259,仲成不動產經紀有限公司
臺北市,63000,379700000A,A1-1264,昌亞不動產股份有限公司
臺北市,63000,379700000A,A1-1270,柏鴻土地開發建設股份有限公司
臺北市,63000,379700000A,A1-1279,聯禾國際企業有限公司(台北市)
臺北市,63000,379700000A,A1-1292,泰基開發股份有限公司
臺北市,63000,379700000A,A1-1298,住邦佳士得資產管理有限公司
臺北市,63000,379700000A,A1-1299,世衡資產管理顧問股份有限公司
臺北市,63000,379700000A,A1-1315,鼎昌物業開發股份有限公司
臺北市,63000,379700000A,A1-1317,聯合房仲不動產經紀有限公司
臺北市,63000,379700000A,A1-1331,自由房屋仲介有限公司
臺北市,63000,379700000A,A1-1335,傳捷廣告股份有限公司
臺北市,63000,379700000A,A1-1342,家宏不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1355,順永興廣告有限公司
臺北市,63000,379700000A,A1-1363,聯同不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1368,達程廣告股份有限公司
臺北市,63000,379700000A,A1-1369,達爾文國際行銷有限公司
臺北市,63000,379700000A,A1-1371,吳氏國際地產投資顧問有限公司
臺北市,63000,379700000A,A1-1374,築地不動產經紀股份有限公司
臺北市,63000,379700000A,A1-1376,富豪國際資產管理有限公司
臺北市,63000,379700000A,A1-1383,世邦不動產股份有限公司
臺北市,63000,379700000A,A1-1391,標柱房屋仲介股份有限公司
臺北市,63000,379700000A,A1-1392,美商中原聯行股份有限公司台灣分公司
臺北市,63000,379700000A,A1-1408,翰程地產事業股份有限公司
臺北市,63000,379700000A,A1-1415,晶莊房屋仲介有限公司
臺北市,63000,379700000A,A1-1416,松禾不動產股份有限公司
臺北市,63000,379700000A,A1-1420,翔企有限公司
臺北市,63000,379700000A,A1-1425,好厝多多不動產經紀有限公司
臺北市,63000,379700000A,A1-1428,上品不動產有限公司
臺北市,63000,379700000A,A1-1434,金諦不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1435,旺達開發股份有限公司
臺北市,63000,379700000A,A1-1441,台灣房屋仲介股份有限公司
臺北市,63000,379700000A,A1-1442,華亞國際物業有限公司
臺北市,63000,379700000A,A1-1446,璞石開發股份有限公司
臺北市,63000,379700000A,A1-1463,巨東不動產投資顧問股份有限公司
臺北市,63000,379700000A,A1-1473,基石廣告事業股份有限公司
臺北市,63000,379700000A,A1-1474,大中廣告有限公司
臺北市,63000,379700000A,A1-1475,誠品房屋仲介有限公司
臺北市,63000,379700000A,A1-1484,泛亞房屋仲介有限公司
臺北市,63000,379700000A,A1-1485,華林不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1488,新富地產股份有限公司
臺北市,63000,379700000A,A1-1490,上居資產管理開發有限公司
臺北市,63000,379700000A,A1-1499,宇陽地產實業股份有限公司
臺北市,63000,379700000A,A1-1503,千盛家廣告實業有限公司
臺北市,63000,379700000A,A1-1505,凌群不動產管理顧問有限公司
臺北市,63000,379700000A,A1-1519,得寶不動產有限公司
臺北市,63000,379700000A,A1-1524,超營廣告有限公司
臺北市,63000,379700000A,A1-1525,頂新不動產有限公司
臺北市,63000,379700000A,A1-1534,全球國際物業有限公司
臺北市,63000,379700000A,A1-1543,京站管理顧問有限公司
臺北市,63000,379700000A,A1-1545,新觀念資產管理顧問股份有限公司
臺北市,63000,379700000A,A1-1546,元宏開發顧問股份有限公司
臺北市,63000,379700000A,A1-1552,喜多田房屋仲介有限公司
臺北市,63000,379700000A,A1-1556,安心開發不動產仲介有限公司
臺北市,63000,379700000A,A1-1564,海悅地產開發股份有限公司
臺北市,63000,379700000A,A1-1567,信義全球資產管理股份有限公司
臺北市,63000,379700000A,A1-1568,新聯昌廣告股份有限公司
臺北市,63000,379700000A,A1-1569,新聯祥廣告股份有限公司
臺北市,63000,379700000A,A1-1578,新北市不動產股份有限公司
臺北市,63000,379700000A,A1-1579,晶鑽房屋仲介股份有限公司
臺北市,63000,379700000A,A1-1582,興富金不動產仲介有限公司
臺北市,63000,379700000A,A1-1583,金磚動力行銷股份有限公司
臺北市,63000,379700000A,A1-1587,廣耀地產有限公司
臺北市,63000,379700000A,A1-1598,亞洲美林有限公司
臺北市,63000,379700000A,A1-1607,大美廣告股份有限公司
臺北市,63000,379700000A,A1-1609,乙升廣告事業有限公司
臺北市,63000,379700000A,A1-1612,明煜不動產經紀股份有限公司
臺北市,63000,379700000A,A1-1623,聯業股份有限公司
臺北市,63000,379700000A,A1-1636,福斯地產股份有限公司
臺北市,63000,379700000A,A1-1638,九天資產管理股份有限公司
臺北市,63000,379700000A,A1-1641,小蜜蜂不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1642,森博不動產經紀股份有限公司
臺北市,63000,379700000A,A1-1645,匯禾不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1650,百強不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1663,三宅開發不動產仲介有限公司
臺北市,63000,379700000A,A1-1672,法拉麗房屋仲介有限公司
臺北市,63000,379700000A,A1-1676,旭泰廣告股份有限公司
臺北市,63000,379700000A,A1-1685,安井房屋仲介有限公司
臺北市,63000,379700000A,A1-1690,皇冠不動產有限公司
臺北市,63000,379700000A,A1-1691,領袖不動產仲介股份有限公司
臺北市,63000,379700000A,A1-1695,利豐不動產股份有限公司
臺北市,63000,379700000A,A1-1701,瑞康國際行銷有限公司
臺北市,63000,379700000A,A1-1703,麗緻廣告有限公司
臺北市,63000,379700000A,A1-1709,奕成房屋仲介有限公司
臺北市,63000,379700000A,A1-1710,聖皇不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1712,君家資產管理顧問有限公司
臺北市,63000,379700000A,A1-1716,仲和都市更新顧問有限公司
臺北市,63000,379700000A,A1-1719,美學生活置業股份有限公司
臺北市,63000,379700000A,A1-1720,台灣蘇富比國際房地產股份有限公司
臺北市,63000,379700000A,A1-1726,豊玉不動產仲介有限公司
臺北市,63000,379700000A,A1-1728,福和興建設有限公司
臺北市,63000,379700000A,A1-1729,富裔實業股份有限公司
臺北市,63000,379700000A,A1-1731,聯勝開發有限公司
臺北市,63000,379700000A,A1-1736,傑創不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1742,漢田不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1744,富冠地產有限公司
臺北市,63000,379700000A,A1-1760,聚利國際物業有限公司
臺北市,63000,379700000A,A1-1761,大展事業有限公司
臺北市,63000,379700000A,A1-1764,巨天不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1765,萬康達物業管理顧問股份有限公司
臺北市,63000,379700000A,A1-1769,揚鼎國際開發有限公司
臺北市,63000,379700000A,A1-1773,兆豐不動產經紀股份有限公司
臺北市,63000,379700000A,A1-1777,阿信房屋仲介有限公司
臺北市,63000,379700000A,A1-1786,寬昱廣告有限公司
臺北市,63000,379700000A,A1-1788,永禾房屋有限公司
臺北市,63000,379700000A,A1-1796,合億房屋仲介有限公司
臺北市,63000,379700000A,A1-1798,永捷資產管理股份有限公司
臺北市,63000,379700000A,A1-1802,百億不動產有限公司
臺北市,63000,379700000A,A1-1811,大眾不動產經紀有限公司
臺北市,63000,379700000A,A1-1828,閎展不動產開發有限公司
臺北市,63000,379700000A,A1-1831,紅龍房屋仲介有限公司
臺北市,63000,379700000A,A1-1832,大壯不動產仲介有限公司
臺北市,63000,379700000A,A1-1838,威肯商用不動產有限公司
臺北市,63000,379700000A,A1-1843,悅祺實業股份有限公司
臺北市,63000,379700000A,A1-1849,全悅廣告股份有限公司
臺北市,63000,379700000A,A1-1853,磐易實業有限公司
臺北市,63000,379700000A,A1-1857,大安地產有限公司
臺北市,63000,379700000A,A1-1860,宇天不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1871,巨將創意廣告股份有限公司
臺北市,63000,379700000A,A1-1880,富華國際物業有限公司
臺北市,63000,379700000A,A1-1882,大管家房屋管理顧問有限公司
臺北市,63000,379700000A,A1-1888,康生醫有限公司
臺北市,63000,379700000A,A1-1892,璞成廣告股份有限公司
臺北市,63000,379700000A,A1-1897,恆豐資產管理股份有限公司
臺北市,63000,379700000A,A1-1899,辰鴻不動產有限公司
臺北市,63000,379700000A,A1-1900,茂濟不動產經紀有限公司
臺北市,63000,379700000A,A1-1902,葛林威有限公司
臺北市,63000,379700000A,A1-1911,川普廣告行銷股份有限公司
臺北市,63000,379700000A,A1-1917,祥鈺不動產經紀有限公司
臺北市,63000,379700000A,A1-1921,洋銘投資顧問有限公司
臺北市,63000,379700000A,A1-1922,安谷房屋仲介股份有限公司
臺北市,63000,379700000A,A1-1924,璨鴻房屋仲介有限公司
臺北市,63000,379700000A,A1-1926,時尚物業有限公司
臺北市,63000,379700000A,A1-1928,擎天行銷股份有限公司
臺北市,63000,379700000A,A1-1929,深格行銷創意有限公司
臺北市,63000,379700000A,A1-1935,長富國際地產有限公司
臺北市,63000,379700000A,A1-1949,富麗華不動產開發企業有限公司
臺北市,63000,379700000A,A1-1950,第一太平戴維斯國際豪宅服務有限公司
臺北市,63000,379700000A,A1-1951,鼎陽開發股份有限公司
臺北市,63000,379700000A,A1-1954,家成事業有限公司
臺北市,63000,379700000A,A1-1955,根基不動產經紀股份有限公司
臺北市,63000,379700000A,A1-1958,新風尚開發股份有限公司
臺北市,63000,379700000A,A1-1960,漢田廣告事業有限公司
臺北市,63000,379700000A,A1-1968,元盛不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-1970,安信建築經理股份有限公司
臺北市,63000,379700000A,A1-1972,大三通不動產有限公司
臺北市,63000,379700000A,A1-1976,大中華地產股份有限公司
臺北市,63000,379700000A,A1-1977,璞信廣告股份有限公司
臺北市,63000,379700000A,A1-1990,台慶國際股份有限公司
臺北市,63000,379700000A,A1-1992,賀誠國際開發有限公司
臺北市,63000,379700000A,A1-1995,帝光開發有限公司
臺北市,63000,379700000A,A1-1998,家澄不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-2006,北世專業不動產有限公司
臺北市,63000,379700000A,A1-2009,艋舺不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-2012,和運不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-2015,好事一二三股份有限公司
臺北市,63000,379700000A,A1-2019,弗利艾樂不動產經紀有限公司
臺北市,63000,379700000A,A1-2021,億昕開發實業有限公司
臺北市,63000,379700000A,A1-2024,標柱顧問股份有限公司
臺北市,63000,379700000A,A1-2029,東京不動產投資顧問有限公司
臺北市,63000,379700000A,A1-2032,鑫磊不動產仲介經紀股份有限公司
臺北市,63000,379700000A,A1-2034,超盈廣告有限公司
臺北市,63000,379700000A,A1-2035,均晟資產管理有限公司
臺北市,63000,379700000A,A1-2036,好宅多不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-2037,鉅揚不動產有限公司
臺北市,63000,379700000A,A1-2045,澤宏不動產有限公司
臺北市,63000,379700000A,A1-2046,享樂不動產股份有限公司
臺北市,63000,379700000A,A1-2051,海悅國際開發股份有限公司
臺北市,63000,379700000A,A1-2055,家樂福資產管理有限公司
臺北市,63000,379700000A,A1-2058,永立地產開發有限公司
臺北市,63000,379700000A,A1-2060,睿達租賃住宅服務股份有限公司
臺北市,63000,379700000A,A1-2061,璞煦廣告股份有限公司
臺北市,63000,379700000A,A1-2069,首億設計有限公司
臺北市,63000,379700000A,A1-2077,拓點商用不動產投資顧問股份有限公司
臺北市,63000,379700000A,A1-2078,九江不動產仲介股份有限公司
臺北市,63000,379700000A,A1-2079,漢均廣告有限公司
臺北市,63000,379700000A,A1-2081,定豐地產開發有限公司
臺北市,63000,379700000A,A1-2083,義豐不動產有限公司
臺北市,63000,379700000A,A1-2093,巨將創新廣告股份有限公司
臺北市,63000,379700000A,A1-2094,中展置業顧問股份有限公司
臺北市,63000,379700000A,A1-2097,佑兆資產管理有限公司
臺北市,63000,379700000A,A1-2098,首誠不動產仲介經紀有限公司
臺北市,63000,379700000A,A1-2101,皇嘉物業管理顧問股份有限公司
臺北市,63000,379700000A,A1-2107,政大盛有限公司
臺北市,63000,379700000A,A1-2108,旭湧不動產股份有限公司
臺北市,63000,379700000A,A1-2112,樸新廣告股份有限公司
臺北市,63000,379700000A,A1-2113,立德房屋仲介有限公司
臺北市,63000,379700000A,A1-2118,兆基管理顧問股份有限公司
臺北市,63000,379700000A,A1-2124,水立方國際開發股份有限公司
臺北市,63000,379700000A,A1-2126,好厝不動產經紀有限公司
臺北市,63000,379700000A,A1-2127,誠鄰不動產經紀股份有限公司
臺北市,63000,379700000A,A1-2132,崔媽媽蝸牛租屋有限公司
臺北市,63000,379700000A,A1-2141,力誠不動產經紀有限公司
臺北市,63000,379700000A,A1-2143,琴和房屋仲介實業社
